Temperatur	Gewicht	Zeit
25.9686	242.905	67.0
25.9703	242.827	67.2
25.9798	242.177	67.4
25.9768	241.683	67.6
25.9493	241.982	67.8
25.9657	241.54	68.0
25.9813	242.177	68.2
25.9699	242.268	68.4
25.9851	241.761	68.6
25.9787	240.76	68.8
25.9535	242.931	69.0
25.9794	242.97	69.2
25.968	241.605	69.4
25.964	242.333	69.6
25.983	241.007	69.8
25.9729	242.489	70.0
25.9745	241.852	70.2
25.9863	241.891	70.4
25.9813	241.969	70.6
25.9712	242.593	70.8
25.9809	240.955	71.0
25.9554	242.268	71.2
25.9733	241.644	71.4
25.979	239.72	71.6
25.9893	242.541	71.8
25.9733	242.658	72.0
25.9676	241.969	72.2
25.9615	242.879	72.4
25.9605	241.904	72.6
25.9712	241.618	72.8
25.9718	242.229	73.0
25.9682	242.216	73.2
25.9602	242.983	73.4
25.963	241.189	73.6
25.9863	242.892	73.8
25.9695	242.632	74.0
25.9804	242.658	74.2
25.9634	241.202	74.4
25.9781	241.592	74.6
25.9743	241.813	74.8
25.9819	241.397	75.0
25.9766	241.826	75.2
25.9714	241.41	75.4
25.9691	241.852	75.6
25.9602	241.722	75.8
25.9649	242.892	76.0
25.9775	241.865	76.2
25.9808	240.747	76.4
25.9794	241.657	76.6
25.9621	241.618	76.8
25.9775	242.164	77.0
25.9657	242.112	77.2
25.9695	241.735	77.4
25.9666	241.15	77.6
25.9714	242.177	77.8
25.9848	241.982	78.0
25.9785	241.345	78.2
25.9708	242.385	78.4
25.9775	242.827	78.6
25.9745	242.606	78.8
25.967	242.905	79.0
25.9712	242.021	79.2
25.9663	242.268	79.4
25.9705	242.658	79.6
25.9825	241.371	79.8
25.9733	242.164	80.0
25.9476	243.282	80.2
25.9861	240.864	80.4
25.9703	240.929	80.6
25.9857	242.099	80.8
25.9787	241.566	81.0
25.9905	242.151	81.2
25.9787	242.333	81.4
25.9825	241.501	81.6
25.9867	241.423	81.8
25.9851	241.098	82.0
25.9842	241.605	82.2
25.9735	241.566	82.4
25.9739	242.476	82.6
25.9914	240.721	82.8
25.9899	242.905	83.0
25.9834	241.852	83.2
25.9809	241.345	83.4
25.9739	240.149	83.6
25.9647	242.034	83.8
25.9653	241.579	84.0
25.9777	241.176	84.2
25.988	242.021	84.4
25.9546	241.761	84.6
25.9718	241.735	84.8
25.9766	243.295	85.0
25.9649	241.891	85.2
25.9777	242.242	85.4
25.9758	242.216	85.6
25.9712	241.657	85.8
25.9924	241.28	86.0
25.9932	242.294	86.2
25.9768	242.515	86.4
25.9724	241.228	86.6
25.9649	242.944	86.8
25.9579	241.462	87.0
25.979	242.801	87.2
25.9611	242.476	87.4
25.9771	241.449	87.6
25.964	241.735	87.8
25.9729	240.916	88.0
25.9739	243.061	88.2
25.9661	242.008	88.4
25.9752	241.345	88.6
25.9912	242.723	88.8
25.9928	241.605	89.0
25.9945	241.631	89.2
25.9686	241.813	89.4
25.9663	242.164	89.6
25.9708	242.203	89.8
25.9752	242.866	90.0
25.9729	241.215	90.2
